User_ID,Device_Model,Operating_System,App_Usage_Time,Screen_On_Time,Battery_Drain,Number_of_Apps_Installed,Data_Usage,Age,Gender,User_Behavior_Class,Battery_Intensity,User_Status,App_Distraction_Index,Battery_Stress_Score,Generation,Usage_Efficiency,Digital_Burnout_Score,User_Persona,Battery_Efficiency_Level,Extreme_Usage_Flag,Risk_Score,Addiction_Risk_Level
1,Google Pixel 5,Android,393,6.4,1872,67,1122,40,Male,4,292.5,Heavy,5.87,0.5993589743589743,Millennials,1.0234375,4.29,Male - Millennials,High Drain,Normal,55.11653984781738,Medium Risk
2,OnePlus 9,Android,268,4.7,1331,42,944,47,Female,3,283.19,Regular,6.38,0.7092411720510894,Gen X / Boomers,0.950354609929078,1.97,Female - Gen X / Boomers,Low Drain,Normal,39.7355493258577,Low Risk
3,Xiaomi Mi 11,Android,154,4.0,761,32,322,42,Male,2,190.25,Casual,4.81,0.4231274638633377,Gen X / Boomers,0.6416666666666667,1.28,Male - Gen X / Boomers,Low Drain,Normal,26.89894540114804,Low Risk
4,Google Pixel 5,Android,239,4.8,1676,56,871,20,Male,3,349.17,Regular,4.27,0.5196897374701671,Gen Z,0.8298611111111112,2.69,Male - Gen Z,High Drain,Normal,43.43425443865972,Medium Risk
5,iPhone 12,iOS,187,4.3,1367,58,988,31,Female,3,317.91,Regular,3.22,0.7227505486466715,Millennials,0.7248062015503877,2.49,Female - Millennials,Low Drain,Normal,43.77933520224269,Medium Risk
6,Google Pixel 5,Android,99,2.0,940,35,564,31,Male,2,470.0,Casual,2.83,0.6,Millennials,0.825,0.7,Male - Millennials,Low Drain,Normal,24.048858630356428,Low Risk
7,Samsung Galaxy S21,Android,350,7.3,1802,66,1054,21,Female,4,246.85,Heavy,5.3,0.5849056603773585,Gen Z,0.7990867579908676,4.82,Female - Gen Z,High Drain,Normal,56.996529168335336,Medium Risk
8,OnePlus 9,Android,543,11.4,2956,82,1702,31,Male,5,259.3,Addicted,6.62,0.5757780784844384,Millennials,0.793859649122807,9.35,Male - Millennials,High Drain,Normal,83.29702309437992,High Risk
9,Samsung Galaxy S21,Android,340,7.7,2138,75,1053,42,Female,4,277.66,Heavy,4.53,0.49251637043966323,Gen X / Boomers,0.735930735930736,5.78,Female - Gen X / Boomers,High Drain,Normal,61.045120811640636,Medium Risk
10,iPhone 12,iOS,424,6.6,1957,75,1301,42,Male,4,296.52,Heavy,5.65,0.6647930505876342,Gen X / Boomers,1.0707070707070707,4.95,Male - Gen X / Boomers,High Drain,Normal,60.35802963556267,Medium Risk
